id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dafd0-eb0d-714a-9e9f-666df57b28a9,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb11-7298-8855-724edb6f2fc0,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb15-722c-a8c5-38592a98ba6a,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb16-70dd-8248-21354447d543,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb16-70dd-8248-26a824555cdf,Kimberly Scott,female,0.9,5,child,US,United States,0.34,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1a-720c-814d-56877a48fa04,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1a-720c-814d-5ae7b6e09567,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1a-720c-814d-5dee919b8285,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1a-720c-814d-629a4e96b6bc,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1c-70f3-b00b-789ee5ac51c3,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1d-773a-92bc-50a1246a0a9d,Miséricorde Eyeghe,female,0.88,45,adult,CG,Republic of the Congo,0.36,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1e-72bd-bff0-2bf5559853a9,Odhiambo Kamau,male,0.7,64,senior,MZ,Mozambique,0.48,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1e-72bd-bff0-2c51b6e6d8a9,Zanele Moyo,female,0.9,58,adult,ZA,South Africa,0.6,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1e-72bd-bff0-3386146c02c2,Paul Sidibé,male,0.75,40,adult,ML,Mali,0.23,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1f-72db-9b35-7005f0c53fd2,Tafadzwa Cele,male,0.92,37,adult,ZA,South Africa,0.5,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb1f-72db-9b35-740a742c56f3,Tanaka Khumalo,male,0.9,24,adult,ZA,South Africa,0.5,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb24-712a-b975-dc4b4c663aa0,Thandiwe Dube,female,0.81,15,teenager,AO,Angola,0.52,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb24-712a-b975-e226a6cb808c,Tendai Mwangi,male,0.75,6,child,TZ,Tanzania,0.4,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-41abb8c82dd1,Susan Edwards,female,0.83,54,adult,IN,India,0.42,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-44b3bf51711b,Véronique Mukendi,female,0.77,55,adult,CD,DR Congo,0.24,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-4b04ad11451a,Kevin King,male,0.68,35,adult,FR,France,0.62,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-4e67f5b1ce11,Zanele Mnguni,female,0.68,30,adult,KE,Kenya,0.85,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-518b0bc53a5f,Tadesse Achieng,male,0.83,34,adult,UG,Uganda,0.49,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-559ba82fe952,Rakiya Otieno,female,0.97,14,teenager,KE,Kenya,0.38,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-58feb9c6fcd7,Mazvita Ndebele,female,0.76,50,adult,ZM,Zambia,0.91,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-5c54d2883fbf,Carol Green,female,0.81,55,adult,GB,United Kingdom,0.65,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb25-74b9-be61-63b6a900c81a,Kagiso Mohamed,male,0.98,7,child,ER,Eritrea,0.43,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-a6e4797f3291,Nomsa Ouma,female,0.94,42,adult,UG,Uganda,0.31,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-ab74601db0e3,Sadiya Awino,female,0.7,17,teenager,TZ,Tanzania,0.24,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-ad659c6815e7,Fortuné Mboumba,male,0.95,17,teenager,GA,Gabon,0.53,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-b108dd957d26,Ayasha Kamau,female,0.82,46,adult,RW,Rwanda,0.68,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-b611ff88257a,Adaeze Coulibaly,female,0.73,41,adult,NG,Nigeria,0.6,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-b9bc0ea079fb,Adhiambo Mnguni,female,0.79,83,senior,KE,Kenya,0.47,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-be3f5cda499d,Maame Kaboré,female,0.8,56,adult,SN,Senegal,0.29,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-c189dfb35d3e,Rumbidzai Mnguni,female,0.96,32,adult,NA,Namibia,0.26,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-c4a18b1b3447,Généreuse Mboumba,female,0.71,40,adult,CD,DR Congo,0.39,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb26-75a0-b62e-c8e510362b00,Bayo Ouédraogo,male,0.99,27,adult,NG,Nigeria,0.81,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb2b-7563-b239-3757894f321f,Joseph Scott,male,0.83,83,senior,GB,United Kingdom,0.22,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb2b-7563-b239-39c4dc1d95e3,Laila Saidi,female,0.66,52,adult,SD,Sudan,0.57,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb2b-7563-b239-3c8505e57836,Sipho Mnguni,male,0.75,60,senior,KE,Kenya,0.35,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb2b-7563-b239-43c33a3676ad,Esi Sawadogo,female,0.68,46,adult,GM,Gambia,0.18,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
019dafd0-eb2b-7563-b239-46c99c0aadf1,Kunle Gbessi,male,0.84,61,senior,CI,Côte d'Ivoire,0.72,Tue Apr 21 2026 12:32:56 GMT+0100 (West Africa Standard Time)
